Observed Predicted
5259.185299 NA
4987.386074 5746.95
5408.238092 5640.99
5638.20929 NA
4956.38448 NA
5416.372752 NA
5161.327115 5511.36
4971.155915 NA
6008.971685 5546.41
5178.585199 NA
5532.153057 5661.59
5958.075825 NA
5401.830191 NA
6122.106357 5376.42
4888.441015 NA
5988.178526 NA
5880.09421 NA
5676.268604 NA
5643.803579 NA
5128.941506 5558.79
6141.791025 NA
6104.511829 5563.82
5994.372063 NA
5377.690053 5661.45
5107.827709 NA
4821.706402 NA
5948.815398 NA
4574.899332 NA
6669.235513 NA
5051.172613 5582.66
4911.814645 NA
5125.739544 NA
4932.433892 5665.57
6334.609987 NA
6778.304223 NA
4741.278737 NA
5721.724627 NA
6222.94058 NA
5313.881231 5653.49
4747.187333 NA
4758.441352 NA
5244.573991 NA
4923.540789 NA
5156.753778 NA
5472.990721 5687.1
6627.263763 5984.14
5643.444391 NA
5294.735529 NA
5216.678394 NA
5497.735087 NA
4842.37379 NA
5689.374725 5180.32
4850.18529 5355.76
3961.710118 NA
5487.631339 NA
4684.914562 NA
4964.852281 NA
4816.308503 NA
4259.366331 NA
5314.460398 5082.81
4647.380184 NA
4133.485207 NA
4742.163905 NA
5069.586821 NA
6508.315742 NA
6344.325512 NA
4670.95683 NA
4328.601122 5564.42
6807.672778 NA
5339.636924 NA
5025.39425 NA
4346.470137 5548.59
5344.401092 5718.88
6187.647196 NA
4872.427799 NA
5417.720642 NA
5057.447882 NA
4824.138277 NA
5429.916079 NA
6040.78864 NA
5527.402016 NA
6519.787043 NA
5786.990919 NA
5072.841286 NA
4726.503055 NA
6359.893898 NA
5482.188358 NA
4753.810781 NA
5502.544658 5735.97
4142.007646 5528.81
5534.826257 NA
5134.846921 5486.64
5236.395165 NA
4789.592004 NA
5303.401427 NA
5119.486611 NA
5369.224809 NA
4843.363768 NA
6399.409973 NA
5319.203485 NA
5388.689615 5641.54
5424.455168 NA
5949.156949 NA
4567.289019 NA
5167.087952 NA
5056.49036 NA
4222.807334 NA
5399.57894 NA
4987.892258 5347.92
5343.428601 NA
5128.393801 NA
6126.248842 NA
6653.985437 NA
4619.879323 NA
5194.881227 NA
5234.009626 NA
4826.101455 NA
4958.054603 NA
4805.956052 NA
4861.214416 NA
5570.163693 NA
5939.547158 NA
4762.773231 5589.9
5464.692419 5358.61
5767.063887 5592.27
3860.321219 NA
6322.633204 NA
6106.293845 NA
5658.430924 NA
5404.131479 NA
5636.203166 NA
4597.493095 NA
5393.627764 NA
4975.035866 NA
5423.547242 NA
4540.859722 NA
5302.71641 NA
5125.597344 NA
5354.468392 5569.68
6133.442334 NA
5206.305223 NA
5577.22589 NA
5525.113521 5663
5825.159001 NA
6164.481135 NA
5385.055271 NA
5952.774636 NA
5458.847732 5725.62
6630.285513 NA
5273.410182 NA
6688.11597 NA
6889.373473 6000.56
6606.768642 NA
6524.324249 5974.72
6160.876122 NA
6211.66495 5945.77
6131.748136 NA
4678.366926 NA
5838.303439 6020.16
5968.536807 6012.39
6446.899245 NA
6161.20392 NA
6516.682149 NA
4659.501172 5853.02
5771.779627 NA
4991.915943 NA
6950.041851 5875.18
5060.335665 NA
5273.43413 NA
6495.239543 NA
5168.728434 5363.18
4823.450362 NA
4321.745136 NA
5083.018666 NA
5946.872139 NA
4827.472439 NA
5901.932489 NA
4894.790153 NA
5084.245337 NA
5561.600387 NA
5456.284343 NA
5508.463042 NA
5514.528703 NA
5256.382853 NA
4791.057378 5390.58
6084.61311 5329.68
5657.196859 NA
5231.029275 NA
5669.161029 NA
5093.496441 5287.81
5191.136646 5217.41
4906.269486 NA
4737.192819 NA
5544.317728 NA
4320.296467 NA
5937.378865 5250
4618.641879 5098.97
4425.870783 NA
6309.697102 NA
5637.450461 5101.1
4909.927174 NA
5775.094171 NA
5048.172857 NA
5350.410089 NA
4525.58512 NA
5967.089717 NA
5472.582641 5521.74
4951.950577 5348.25
5536.356628 NA
6257.666028 NA
5919.031916 NA
5776.372692 NA
6432.301744 NA
5239.007203 NA
5565.34658 NA
5524.893512 NA
5516.647336 NA
5182.096451 NA
5404.737143 5393.01
5478.622826 5427.49
4714.86763 NA
6264.035656 NA
5551.663053 NA
5407.785331 5643.17
5494.445059 NA
6468.826992 5776.64
5261.607769 NA
6268.977676 NA
5705.474519 NA
5634.760579 NA
5114.376389 NA
5915.819464 5595.39
5527.283243 NA
5525.719914 NA
6695.660357 NA
4927.6341 NA
5267.31314 NA
6650.074183 NA
5880.04141 NA
7029.606957 5627.58
4577.318188 NA
5051.914326 NA
6294.358936 NA
5494.192031 NA
5591.978178 5438.78
5578.287666 NA
5360.525795 NA
6345.525541 NA
6066.659952 NA
5695.255389 NA
5439.880849 NA
5237.953435 NA
5513.732541 5228.05
5006.850264 NA
4748.92666 NA
5378.390425 NA
4551.395989 NA
4635.996681 NA
5103.954618 NA
6393.927861 NA
5437.788059 NA
5266.491037 NA
5435.176522 NA
5815.993971 5505.71
5465.502382 NA
6096.972599 NA
5213.759794 5363.07
5177.80608 NA
4865.909583 NA
5133.459518 NA
5609.02694 NA
5608.049648 NA
5717.189678 5269.12
6157.659343 NA
6739.452158 NA
6284.217868 NA
6319.896815 NA
5171.585255 NA
6860.108932 NA
6661.790823 NA
6903.620924 NA
5107.082126 NA
7107.923941 6069.53
6962.645638 NA
5687.579962 NA
5913.830868 NA
6159.114112 NA
5297.972444 NA
6597.001465 NA
6567.999697 6136.7
6923.113379 NA
5620.930163 6265.49
5349.118694 NA
6495.090124 NA
6969.134225 NA
5060.889438 NA
5637.800399 NA
4516.860254 5839.7
5798.343385 NA
6273.801661 NA
5758.760014 NA
6230.406284 NA
5219.397036 NA
5712.937134 NA
6903.936416 NA
7055.976973 NA
5616.292004 NA
4658.144472 NA
5738.532125 NA
7516.152155 NA
7361.141797 NA
6070.448663 5522.23
6032.35784 5464.27
6383.66645 NA
5437.178645 NA
6849.168901 NA
5107.160402 NA
5105.143161 NA
4802.9316 NA
4827.749223 NA
4404.890075 NA
4952.825174 NA
5993.967984 5106.61
4134.039143 5492.34
5558.494971 5485.45
5356.208278 NA
5968.978911 5399.74
5111.997856 NA
5198.13412 NA
4803.470641 NA
5796.86093 NA
6360.700214 5576.73
5240.51404 NA
6437.169086 NA
5654.702183 NA
5673.738942 NA
4513.618828 NA
5910.19332 NA
5058.979591 NA
5046.919518 NA
3574.196149 NA
6046.170119 NA
6819.864422 5883.6
5117.670049 5850.45
5095.697636 NA
6186.527614 NA
5022.134173 6141.77
5186.190276 NA
6314.943788 NA
5439.004787 NA
5286.893097 5853.17
5052.70362 NA
5674.472027 5802.25
6824.413443 NA
4822.937569 NA
7171.8033 NA
4992.901114 NA
4829.99952 5850.79
5032.454118 NA
4215.306072 NA
6004.803586 NA
6605.759472 NA
5084.160678 NA
6280.182588 NA
6227.309896 5492.07
4786.304973 5638.62
7195.925538 NA
6483.332263 NA
5494.901974 NA
7053.342255 NA
6676.101875 NA
6206.416364 5525.48
6650.587511 NA
6778.424157 NA
6580.170783 NA
4779.534852 NA
6051.746127 NA
5261.936149 5538.56
5947.971618 NA
6363.671859 5586.36
6558.096627 5550.6
4895.326075 NA
6545.993327 NA
6518.778473 5713.34
6374.895439 NA
6167.549883 NA
5916.025999 5534.48
5562.975398 NA
5869.640116 NA
5127.141312 NA
6492.438195 NA
4647.263616 NA
5808.809503 NA
4745.091813 5766.31
5101.2573 NA
5284.827151 NA
7025.980482 NA
5237.005478 NA
6002.152712 NA
5304.915109 NA
6739.457757 NA
5544.284309 NA
5269.415914 NA
5325.941597 NA
5953.017141 NA
4996.947236 5579.56
4969.826912 NA
6475.583242 NA
4958.306007 NA
7131.137366 6133.04
7096.854579 NA
6353.026112 6198.18
7021.018732 NA
5262.862335 NA
6715.308411 NA
6758.635278 NA
5785.207976 NA
5280.767303 NA
3188.015176 NA
6952.224425 NA
6192.45925 NA
5950.392982 NA
4668.307916 NA
5521.01074 NA
5134.50729 NA
6281.27715 NA
4709.882707 NA
5101.823599 NA
5913.198127 NA
5756.938555 5457.4
5320.290386 NA
5251.991655 NA
6071.920099 5579.88
5044.531174 5454.75
5154.933494 NA
6360.293563 NA
5717.644172 NA
5990.990384 NA
5989.798523 5865.02
6015.999942 NA
4920.514915 NA
