ID NSeg NHet
MS10S3019-001 221 63
MS10S3019-002 221 48
MS10S3019-003 221 36
MS10S3019-004 221 33
MS10S3019-005 221 72
MS10S3019-006 221 43
MS10S3019-007 221 43
MS10S3019-008 221 39
MS10S3019-009 221 53
MS10S3019-010 221 40
MS10S3019-011 221 40
MS10S3019-012 221 44
MS10S3019-013 221 31
MS10S3019-014 221 41
MS10S3019-015 221 64
MS10S3019-016 221 59
MS10S3019-017 221 41
MS10S3019-018 221 26
MS10S3019-019 221 34
MS10S3019-020 221 33
MS10S3019-021 221 49
MS10S3019-022 221 49
MS10S3019-023 221 48
MS10S3019-024 221 41
MS10S3021-001 168 57
MS10S3021-002 168 32
MS10S3021-003 168 36
MS10S3021-004 168 12
MS10S3021-005 168 28
MS10S3021-006 168 34
MS10S3021-007 168 31
MS10S3021-008 168 32
MS10S3021-009 168 39
MS10S3021-010 168 35
MS10S3021-011 168 51
MS10S3021-012 168 14
MS10S3021-013 168 35
MS10S3021-014 168 55
MS10S3021-015 168 52
MS10S3021-016 168 63
MS10S3021-017 168 45
MS10S3021-018 168 30
MS10S3021-019 168 11
MS10S3021-020 168 49
MS10S3021-021 168 30
MS10S3021-022 168 30
MS10S3021-023 168 54
MS10S3021-024 168 18
MS10S3022-001 173 35
MS10S3022-002 173 28
MS10S3022-003 173 27
MS10S3022-004 173 28
MS10S3022-005 173 18
MS10S3022-006 173 45
MS10S3022-007 173 39
MS10S3022-008 173 33
MS10S3022-009 173 34
MS10S3022-010 173 23
MS10S3022-011 173 51
MS10S3022-012 173 28
MS10S3022-013 173 20
MS10S3022-014 173 39
MS10S3022-015 173 37
MS10S3022-016 173 40
MS10S3022-017 173 8
MS10S3022-018 173 26
MS10S3022-019 173 41
MS10S3022-020 173 24
MS10S3022-021 173 32
MS10S3022-022 173 24
MS10S3022-023 173 56
MS10S3022-024 173 45
MS10S3024-001 188 42
MS10S3024-002 188 63
MS10S3024-003 188 42
MS10S3024-004 188 34
MS10S3024-005 188 20
MS10S3024-006 188 53
MS10S3024-007 188 12
MS10S3024-008 188 53
MS10S3024-009 188 51
MS10S3024-010 188 33
MS10S3024-011 188 43
MS10S3024-012 188 41
MS10S3024-013 188 31
MS10S3024-014 188 89
MS10S3024-015 188 14
MS10S3024-016 188 16
MS10S3024-017 188 41
MS10S3024-018 188 22
MS10S3024-019 188 32
MS10S3024-020 188 62
MS10S3024-021 188 38
MS10S3024-022 188 31
MS10S3024-023 188 34
MS10S3024-024 188 37
MS10S3025-001 233 34
MS10S3025-002 233 33
MS10S3025-003 233 59
MS10S3025-004 233 31
MS10S3025-005 233 79
MS10S3025-006 233 46
MS10S3025-007 233 42
MS10S3025-008 233 84
MS10S3025-009 233 68
MS10S3025-010 233 73
MS10S3025-011 233 49
MS10S3025-012 233 19
MS10S3025-013 233 59
MS10S3025-014 233 50
MS10S3025-015 233 28
MS10S3025-016 233 47
MS10S3025-017 233 41
MS10S3025-018 233 64
MS10S3025-019 233 37
MS10S3025-020 233 33
MS10S3025-021 233 18
MS10S3025-022 233 32
MS10S3025-023 233 28
MS10S3025-024 233 47
MS10S3026-001 153 14
MS10S3026-002 153 10
MS10S3026-003 153 29
MS10S3026-004 153 39
MS10S3026-005 153 42
MS10S3026-006 153 50
MS10S3026-007 153 52
MS10S3026-008 153 9
MS10S3026-009 153 22
MS10S3026-010 153 27
MS10S3026-011 153 32
MS10S3026-012 153 36
MS10S3026-013 153 43
MS10S3026-014 153 35
MS10S3026-015 153 57
MS10S3026-016 153 25
MS10S3026-017 153 26
MS10S3026-018 153 29
MS10S3026-019 153 40
MS10S3026-020 153 28
MS10S3026-021 153 8
MS10S3026-022 153 44
MS10S3026-023 153 14
MS10S3026-024 153 17
MS10S3027-001 132 15
MS10S3027-002 132 41
MS10S3027-003 132 26
MS10S3027-004 132 42
MS10S3027-005 132 24
MS10S3027-006 132 54
MS10S3027-007 132 3
MS10S3027-008 132 37
MS10S3027-009 132 38
MS10S3027-010 132 34
MS10S3027-011 132 15
MS10S3027-012 132 18
MS10S3027-013 132 29
MS10S3027-014 132 44
MS10S3027-015 132 43
MS10S3027-016 132 62
MS10S3027-017 132 38
MS10S3027-018 132 27
MS10S3027-019 132 28
MS10S3027-020 132 45
MS10S3027-021 132 27
MS10S3027-022 132 39
MS10S3027-023 132 16
MS10S3027-024 132 40
MS10S3029-001 144 24
MS10S3029-002 144 28
MS10S3029-003 144 54
MS10S3029-004 144 16
MS10S3029-005 144 42
MS10S3029-006 144 38
MS10S3029-007 144 23
MS10S3029-008 144 31
MS10S3029-009 144 30
