Line,Cycle,Type,NC,SY,NS,DE
MS10S3025-003,C1,Ran,60997,16535,13164,243
MS10S3025-004,C1,Ran,64729,17838,14239,258
MS10S3025-006,C1,Ran,60989,16711,13461,235
MS10S3025-008,C1,Ran,59207,16139,12817,215
MS10S3025-011,C1,Ran,59972,16372,13136,234
MS10S3025-013,C1,Ran,62018,16939,13555,254
MS10S3025-016,C1,Ran,61997,17043,13521,238
MS10S3025-017,C1,Ran,62932,16993,13544,266
MS10S3025-019,C1,Ran,61815,16885,13473,246
MS10S3031-012,C1,Sel,59058,16547,13102,167
MS10S3031-015,C1,Sel,59499,16562,13236,171
MS10S3031-016,C1,Sel,59101,16413,13196,170
MS10S3032-004,C1,Sel,62972,17384,13906,207
MS10S3032-006,C1,Sel,63049,17434,13805,231
MS10S3032-007,C1,Sel,64561,17867,14269,241
MS10S3032-008,C1,Sel,64195,17789,14373,207
MS10S3032-010,C1,Sel,64361,17720,14262,254
MS10S3032-012,C1,Sel,60374,16895,13466,188
MS10S3032-014,C1,Sel,63683,17609,14147,235
MS10S3032-015,C1,Sel,62756,17343,13935,222
MS10S3032-016,C1,Sel,64259,17686,14204,246
MS10S3032-018,C1,Sel,65557,17990,14419,252
MS10S3032-022,C1,Sel,63369,17652,14049,209
MS10S3034-002,C1,Sel,61585,16975,13568,208
MS10S3034-004,C1,Sel,64886,17638,14133,253
MS10S3034-014,C1,Sel,63262,17300,13904,208
MS10S3034-015,C1,Sel,62301,17187,13856,209
MS10S3034-019,C1,Sel,64549,17699,14158,221
MS10S3034-024,C1,Sel,64281,17680,14145,225
MS10S3036-009,C1,Sel,62389,17368,13852,204
MS10S3036-024,C1,Sel,63252,17447,14095,209
MS10S3037-002,C1,Ran,62731,16879,13456,283
MS10S3037-003,C1,Ran,61488,16500,13278,244
MS10S3037-006,C1,Ran,62338,16727,13466,256
MS10S3037-009,C1,Ran,61547,16858,13398,229
MS10S3037-012,C1,Ran,58827,15847,12680,224
MS10S3037-014,C1,Ran,62398,16822,13417,261
MS10S3037-015,C1,Ran,62420,16800,13616,266
MS10S3037-016,C1,Ran,61780,16611,13294,266
MS10S3037-017,C1,Ran,59942,16360,13066,224
MS10S3037-019,C1,Ran,60925,16305,13038,232
MS10S3038-002,C1,Ran,63471,17280,13806,239
MS10S3038-004,C1,Ran,63229,17081,13700,243
MS10S3038-005,C1,Ran,63650,17278,13855,263
MS10S3038-007,C1,Ran,62936,17253,13727,258
MS10S3038-008,C1,Ran,60918,16500,13238,234
MS10S3038-013,C1,Ran,63402,17327,13813,241
MS10S3038-014,C1,Ran,61545,16547,13193,260
MS10S3038-016,C1,Ran,63799,17224,13828,263
MS10S3038-019,C1,Ran,62547,17153,13578,221
MS10S3038-022,C1,Ran,62878,17151,13700,223
MS10S3039-001,C1,Ran,63556,17029,13624,257
MS10S3039-002,C1,Ran,63508,16958,13536,252
MS10S3039-007,C1,Ran,64257,17398,13934,250
MS10S3039-008,C1,Ran,63874,17198,13791,257
MS10S3039-011,C1,Ran,64602,17472,13910,249
MS10S3039-014,C1,Ran,63684,16974,13586,254
MS10S3039-015,C1,Ran,64002,17144,13694,248
MS10S3039-016,C1,Ran,64156,17333,13772,249
MS10S3039-017,C1,Ran,63444,17060,13669,254
MS10S3039-024,C1,Ran,64501,17182,13706,257
MS10S3040-003,C1,Ran,63169,17233,13786,226
MS10S3040-006,C1,Ran,63241,17348,13814,230
MS10S3040-008,C1,Ran,63455,17388,13897,231
MS10S3040-010,C1,Ran,62759,17135,13679,241
MS10S3040-012,C1,Ran,62669,16899,13480,230
MS10S3040-014,C1,Ran,61872,16718,13400,230
MS10S3040-015,C1,Ran,62930,17283,13766,216
MS10S3040-016,C1,Ran,63240,17164,13779,232
MS10S3040-018,C1,Ran,63885,17356,13795,242
MS10S3040-020,C1,Ran,63387,17402,13845,228
MS10S3041-002,C1,Ran,60559,16741,13357,213
MS10S3041-005,C1,Ran,63141,17405,13842,213
MS10S3041-007,C1,Ran,63295,17288,13759,235
MS10S3041-008,C1,Ran,60638,16602,13257,224
MS10S3041-009,C1,Ran,62624,17023,13643,270
MS10S3041-010,C1,Ran,60284,16418,13189,204
MS10S3041-012,C1,Ran,61030,16611,13300,226
MS10S3041-013,C1,Ran,61335,16759,13473,248
MS10S3041-019,C1,Ran,61080,16725,13298,221
MS10S3041-020,C1,Ran,62902,17308,13846,229
MS10S3042-002,C1,Ran,60006,16560,13271,189
MS10S3042-003,C1,Sel,60637,16675,13323,213
MS10S3042-006,C1,Ran,62000,16900,13621,229
MS10S3042-007,C1,Ran,62497,17014,13698,241
MS10S3042-009,C1,Ran,59690,16482,13265,199
MS10S3042-010,C1,Ran,62415,17028,13719,224
MS10S3042-013,C1,Ran,59166,16257,13072,213
MS10S3042-014,C1,Ran,61780,16883,13569,227
MS10S3042-015,C1,Ran,58811,16187,12967,209
MS10S3042-016,C1,Ran,63646,17366,13921,266
MS10S3042-020,C1,Ran,61609,17047,13697,215
MS10S3043-001,C1,Ran,64036,17641,14094,237
MS10S3043-003,C1,Ran,61613,17054,13651,208
MS10S3043-006,C1,Ran,61966,17244,13830,219
MS10S3043-008,C1,Ran,64309,17710,14141,254
MS10S3043-010,C1,Ran,64091,17708,14167,225
MS10S3043-012,C1,Ran,63363,17384,13827,238
MS10S3043-013,C1,Ran,63866,17692,14086,235
MS10S3043-014,C1,Ran,63561,17574,14021,231
MS10S3043-015,C1,Ran,60166,16769,13375,198
